20240715	20:05:26	521303cb-d41b-495f-b700-ef6f86bfdc03	POST	/auth	undefined
20240715	20:06:38	17f5755f-ebe1-411f-af81-b3478341049b	OPTIONS	/register	http://localhost:5173
20240715	20:06:38	d6558da3-cbcb-4318-a6a4-7800174d3e08	POST	/register	http://localhost:5173
20240715	20:06:40	a181fc53-ddd6-4e56-9375-2ea670466d77	POST	/register	http://localhost:5173
20240715	20:06:42	27b707e7-f908-46ab-8f52-bad8e2745873	POST	/register	http://localhost:5173
20240715	20:06:51	3185c5f6-a1bc-4e28-a818-f30be922541a	OPTIONS	/register	http://localhost:5173
20240715	20:06:51	18710183-3d9f-4ced-904d-c66f562125c2	POST	/register	http://localhost:5173
20240715	20:08:19	d1d114f1-03ec-4250-bcc3-c9ce2aca406a	OPTIONS	/register	http://localhost:5173
20240715	20:08:19	4e309d6d-9d83-467f-beea-e7002249f06f	POST	/register	http://localhost:5173
20240715	20:08:27	53f09dbe-7f48-4833-b1c4-a1c91a353fa6	POST	/auth	undefined
20240715	20:08:36	abd7a171-6a91-498f-be61-c5295fb48983	OPTIONS	/register	http://localhost:5173
20240715	20:08:36	ebcde626-b8d1-4150-97a5-a7d30648b58f	POST	/register	http://localhost:5173
20240715	20:08:49	b674650f-db87-4cc9-9969-d2b06cb23c05	POST	/auth	undefined
20240715	20:08:51	b56698d9-b8d7-4aa3-85d5-431befeb1f35	POST	/auth	undefined
20240715	20:10:05	cc829966-2de8-41b7-836e-0a710a856c12	OPTIONS	/login	http://localhost:5173
20240715	20:10:05	a4ffe78a-f53e-4553-9884-ffb389321799	POST	/login	http://localhost:5173
20240715	20:10:49	42cb4b32-b737-4e38-9478-ac8cc79c9df6	OPTIONS	/login	http://localhost:5173
20240715	20:10:49	235ee4f6-90c0-4882-8022-19cdb36307f4	POST	/login	http://localhost:5173
20240715	20:13:00	ee56c261-ba22-4316-85c6-605555e0b3ce	OPTIONS	/login	http://localhost:5173
20240715	20:13:00	3b3719ad-4652-43c1-aa5d-40f9cda18738	POST	/login	http://localhost:5173
20240715	20:15:09	a60b1449-6766-4f30-a0cc-3d14e1ef31bb	POST	/auth	undefined
20240715	20:15:48	c231e66c-77cf-4a75-98cd-ee38fe1f3494	POST	/	undefined
20240715	20:17:32	7a9b5293-9f64-4760-a41b-156b44863945	OPTIONS	/login	http://localhost:5173
20240715	20:17:32	4b5daf54-c79f-463b-8a18-bbe044a44e98	POST	/login	http://localhost:5173
20240715	20:21:04	c087ea77-90fd-4b5b-b618-52fe6606a795	POST	/auth	undefined
20240715	20:23:08	8a6b2934-31ca-4714-8452-1a0e5ddae089	OPTIONS	/login	http://localhost:5173
20240715	20:23:08	53726b7d-78d8-47e8-b5b0-e21f9a0cdd68	POST	/login	http://localhost:5173
20240715	20:25:06	b211de0c-138d-4de6-8f3f-95279320e20b	POST	/auth/login	undefined
20240715	20:25:23	78e211c0-4de2-493b-9b1d-23fd76a1c5d6	POST	/login	undefined
20240715	20:28:34	c0d707b4-0403-44cc-bf50-3de96f3078c8	POST	/login	undefined
20240715	20:28:38	ece318cf-c508-4f22-832e-f3a19cd3684d	OPTIONS	/login	http://localhost:5173
20240715	20:28:38	953b192e-9932-4a86-a8a8-80fcb8e79874	POST	/login	http://localhost:5173
20240715	20:29:59	5f504efb-620d-439f-8557-a13047925758	OPTIONS	/login	http://localhost:5173
20240715	20:29:59	97fa661e-02d9-4097-8df1-035242be6793	POST	/login	http://localhost:5173
20240715	20:32:35	25e39756-a163-4049-8a09-6b443d9b009b	OPTIONS	/login	http://localhost:5173
20240715	20:32:35	66d7b96b-973a-4470-bc24-398c4fdbf246	POST	/login	http://localhost:5173
20240715	20:33:34	f23153cd-c10b-461f-becd-1b4d8bec8def	OPTIONS	/login	http://localhost:5173
